country,year,event,deaths
Ethiopia,2021,Tigray War,129481
Sudan,2025,Civil war (SAF-RSF),75164
Ethiopia,2022,Tigray War,164991
Syrian Arab Rep.,2014,Civil war,78627
Rwanda,1994,Genocide,772413
Ukraine,2022,Russia-Ukraine war,100595
Syrian Arab Rep.,2013,Civil war,76462
